;Estaciones;X;Y
;Vicosa do Ceara;-41,0945498;-3,568303323
;Sobral;-40,34476453;-3,660605378
;Sao Goncalo do Amarante;-38,97981068;-3,674750452
;Santa Quiteria;-40,14993276;-4,332953427
;Santana do Cariri;-39,73338815;-7,18305902
;Quixeramobim;-39,28369603;-5,200769967
;Quixada;-39,03337388;-4,967000076
;Pentecoste;-39,27230701;-3,795656779
;Jati;-38,99792619;-7,68237997
;Itatira;-39,6359847;-4,528938261
;;;
;;;
;;;
;;;
Estaciones;Distancias ;;
Vicosa do Ceara;2,438060442;;
Sobral;1,870286963;;
Sao Goncalo do Amarante;1,555982605;;
Santa Quiteria;1,226161335;;
Santana do Cariri;2,03265661;;
Quixeramobim;0;;
Quixada;0,342504804;;
Pentecoste;1,405159344;;
Jati;2,498009729;;
Itatira;0,758594192;;
